Town,FIPS,Year,Age Range,Allegation Type,Report Status,Measure Type,Variable,Value
East Hartford,0900322630,2009,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,135
East Hartford,0900322630,2010,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,100.57
East Hartford,0900322630,2011,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,252
East Hartford,0900322630,2010,0 to 9,Medical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,4.37
East Hartford,0900322630,2009,0 to 9,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,12
East Hartford,0900322630,2009,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,15.14
East Hartford,0900322630,2013,9 to 17,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
East Hartford,0900322630,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,239
East Hartford,0900322630,2013,9 to 17,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
East Hartford,0900322630,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,11
East Hartford,0900322630,2010,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,65
East Hartford,0900322630,2009,0 to 9,Moral Neglect,Total reports,Number,Child Abuse and Neglect,18
East Hartford,0900322630,2011,0 to 9,Educational,Unsubstantiated,Number,Child Abuse and Neglect,18
East Hartford,0900322630,2008,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,138
East Hartford,0900322630,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,23.04
East Hartford,0900322630,2013,9 to 17,Human Trafficking Domestic,Unsubstantiated,Number,Child Abuse and Neglect,1
East Hartford,0900322630,2011,0 to 9,Educational,Substantiated,Rate per 1000,Child Abuse and Neglect,2.02
East Hartford,0900322630,2013,0 to 8,Human Trafficking Domestic,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2010,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,23.21
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Pending,Rate per 1000,Child Abuse and Neglect,8.41
East Hartford,0900322630,2009,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,37
East Hartford,0900322630,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,147
East Hartford,0900322630,2009,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,25.23
East Hartford,0900322630,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,2
East Hartford,0900322630,2008,0 to 9,Educational,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,2.02
East Hartford,0900322630,2010,0 to 9,Educational,Total reports,Rate per 1000,Child Abuse and Neglect,2.86
East Hartford,0900322630,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,2
East Hartford,0900322630,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,6
East Hartford,0900322630,2013,9 to 17,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,11
East Hartford,0900322630,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,71
East Hartford,0900322630,2009,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,6.22
East Hartford,0900322630,2008,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,28
East Hartford,0900322630,2008,0 to 9,Emotional Abuse/Maltreatment,Total reports,Rate per 1000,Child Abuse and Neglect,4.2
East Hartford,0900322630,2011,0 to 9,Emotional Neglect,Pending,Number,Child Abuse and Neglect,27
East Hartford,0900322630,2013,0 to 8,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2009,0 to 9,Medical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,2.69
East Hartford,0900322630,2013,0 to 8,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2008,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,21.36
East Hartford,0900322630,2010,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,30.1
East Hartford,0900322630,2010,0 to 9,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,16
East Hartford,0900322630,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,17
East Hartford,0900322630,2011,0 to 9,Moral Neglect,Total reports,Number,Child Abuse and Neglect,21
East Hartford,0900322630,2009,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,625
East Hartford,0900322630,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,4
East Hartford,0900322630,2009,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.37
East Hartford,0900322630,2008,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.37
East Hartford,0900322630,2010,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,138
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,115.37
East Hartford,0900322630,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,475
East Hartford,0900322630,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,71
East Hartford,0900322630,2010,0 to 9,Physical Abuse,Substantiated,Rate per 1000,Child Abuse and Neglect,2.69
East Hartford,0900322630,2008,0 to 9,Medical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,4.04
East Hartford,0900322630,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2013,0 to 8,Human Trafficking Domestic,Pending,Number,Child Abuse and Neglect,0
East Hartford,0900322630,2013,0 to 8,Human Trafficking Domestic,Unsubstantiated,Number,Child Abuse and Neglect,1
East Hartford,0900322630,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,10
East Hartford,0900322630,2011,0 to 9,Sexual Abuse/Exploitation,Total reports,Number,Child Abuse and Neglect,54
East Hartford,0900322630,2009,0 to 9,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,16
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,450
East Hartford,0900322630,2010,0 to 9,Medical Neglect,Total reports,Number,Child Abuse and Neglect,26
East Hartford,0900322630,2011,0 to 9,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,13
East Hartford,0900322630,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,4
East Hartford,0900322630,2009,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,16
East Hartford,0900322630,2008,0 to 9,Medical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,3.53
East Hartford,0900322630,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,29
East Hartford,0900322630,2013,0 to 8,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,7
East Hartford,0900322630,2008,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,130
East Hartford,0900322630,2009,0 to 9,Medical Neglect,Total reports,Number,Child Abuse and Neglect,17
East Hartford,0900322630,2008,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,25
East Hartford,0900322630,2008,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,21.86
East Hartford,0900322630,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,598
East Hartford,0900322630,2013,0 to 8,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
East Hartford,0900322630,2009,0 to 9,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,13
East Hartford,0900322630,2008,0 to 9,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,21
East Hartford,0900322630,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2011,0 to 9,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,19
East Hartford,0900322630,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,29
East Hartford,0900322630,2013,9 to 17,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2011,0 to 9,Moral Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,2.52
East Hartford,0900322630,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,2
East Hartford,0900322630,2011,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.55
East Hartford,0900322630,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,92
East Hartford,0900322630,2011,0 to 9,Educational,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,3.03
East Hartford,0900322630,2010,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,61
East Hartford,0900322630,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,29
East Hartford,0900322630,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,29
East Hartford,0900322630,2009,0 to 9,Moral Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,3.03
East Hartford,0900322630,2011,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,114
East Hartford,0900322630,2008,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,4.04
East Hartford,0900322630,2008,0 to 9,Educational,Unsubstantiated,Number,Child Abuse and Neglect,12
East Hartford,0900322630,2009,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,24.89
East Hartford,0900322630,2009,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,150
East Hartford,0900322630,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,63.07
East Hartford,0900322630,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,2
East Hartford,0900322630,2011,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,23.71
East Hartford,0900322630,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,92
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,186
East Hartford,0900322630,2009,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,16
East Hartford,0900322630,2013,9 to 17,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,7
East Hartford,0900322630,2013,9 to 17,Human Trafficking Domestic,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,32.12
East Hartford,0900322630,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,17
East Hartford,0900322630,2009,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,8.91
East Hartford,0900322630,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,151
East Hartford,0900322630,2011,0 to 9,Emotional Neglect,Pending,Rate per 1000,Child Abuse and Neglect,4.54
East Hartford,0900322630,2009,0 to 9,Physical Abuse,Substantiated,Rate per 1000,Child Abuse and Neglect,2.19
East Hartford,0900322630,2013,9 to 17,Educational Neglect,Pending,Number,Child Abuse and Neglect,1
East Hartford,0900322630,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,389
East Hartford,0900322630,2011,0 to 9,Physical Abuse,Substantiated,Rate per 1000,Child Abuse and Neglect,2.19
East Hartford,0900322630,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,27.41
East Hartford,0900322630,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,12
East Hartford,0900322630,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2009,0 to 9,Educational,Total reports,Rate per 1000,Child Abuse and Neglect,2.69
East Hartford,0900322630,2008,0 to 9,Sexual Abuse/Exploitation,Total reports,Rate per 1000,Child Abuse and Neglect,5.89
East Hartford,0900322630,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,6
East Hartford,0900322630,2009,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,26
East Hartford,0900322630,2010,0 to 9,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,17
East Hartford,0900322630,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,10
East Hartford,0900322630,2011,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,25
East Hartford,0900322630,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,12
East Hartford,0900322630,2011,0 to 9,Medical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,4.2
East Hartford,0900322630,2011,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,10.43
East Hartford,0900322630,2013,0 to 8,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Pending,Number,Child Abuse and Neglect,50
East Hartford,0900322630,2011,0 to 9,Educational,Substantiated,Number,Child Abuse and Neglect,12
East Hartford,0900322630,2013,0 to 8,Educational Neglect,Pending,Number,Child Abuse and Neglect,1
East Hartford,0900322630,2009,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,2.69
East Hartford,0900322630,2008,0 to 9,Medical Neglect,Total reports,Number,Child Abuse and Neglect,24
East Hartford,0900322630,2009,0 to 9,Sexual Abuse/Exploitation,Total reports,Rate per 1000,Child Abuse and Neglect,5.21
East Hartford,0900322630,2011,0 to 9,Physical Abuse,Pending,Rate per 1000,Child Abuse and Neglect,2.35
East Hartford,0900322630,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,36.83
East Hartford,0900322630,2010,0 to 9,Educational,Substantiated,Number,Child Abuse and Neglect,10
East Hartford,0900322630,2011,0 to 9,Sexual Abuse/Exploitation,Substantiated,Rate per 1000,Child Abuse and Neglect,2.52
East Hartford,0900322630,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,77
East Hartford,0900322630,2009,0 to 9,Emotional Abuse/Maltreatment,Total reports,Rate per 1000,Child Abuse and Neglect,2.69
East Hartford,0900322630,2008,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,23.21
East Hartford,0900322630,2010,0 to 9,Moral Neglect,Total reports,Number,Child Abuse and Neglect,16
East Hartford,0900322630,2010,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,179
East Hartford,0900322630,2013,9 to 17,Human Trafficking Domestic,Pending,Number,Child Abuse and Neglect,0
East Hartford,0900322630,2011,0 to 9,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,33
East Hartford,0900322630,2008,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,127
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,75.68
East Hartford,0900322630,2011,0 to 9,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,15
East Hartford,0900322630,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,86.78
East Hartford,0900322630,2010,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,14
East Hartford,0900322630,2009,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,53
East Hartford,0900322630,2008,0 to 9,Educational,Substantiated,Rate per 1000,Child Abuse and Neglect,2.69
East Hartford,0900322630,2011,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,232
East Hartford,0900322630,2009,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,90
East Hartford,0900322630,2009,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,148
East Hartford,0900322630,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,294
East Hartford,0900322630,2008,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,24
East Hartford,0900322630,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,74
East Hartford,0900322630,2011,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,163
East Hartford,0900322630,2008,0 to 9,Educational,Substantiated,Number,Child Abuse and Neglect,16
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,31.28
East Hartford,0900322630,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,191
East Hartford,0900322630,2011,0 to 9,Moral Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,3.53
East Hartford,0900322630,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,219
East Hartford,0900322630,2011,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.2
East Hartford,0900322630,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,686
East Hartford,0900322630,2009,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,22.7
East Hartford,0900322630,2010,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,137
East Hartford,0900322630,2011,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,32
East Hartford,0900322630,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,302
East Hartford,0900322630,2011,0 to 9,Sexual Abuse/Exploitation,Total reports,Rate per 1000,Child Abuse and Neglect,9.08
East Hartford,0900322630,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,50.79
East Hartford,0900322630,2010,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,49.45
East Hartford,0900322630,2011,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,29
East Hartford,0900322630,2009,0 to 9,Sexual Abuse/Exploitation,Total reports,Number,Child Abuse and Neglect,31
East Hartford,0900322630,2010,0 to 9,Educational,Substantiated,Rate per 1000,Child Abuse and Neglect,1.68
East Hartford,0900322630,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,25.4
East Hartford,0900322630,2011,0 to 9,Emotional Abuse/Maltreatment,Total reports,Rate per 1000,Child Abuse and Neglect,4.88
East Hartford,0900322630,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
East Hartford,0900322630,2008,0 to 9,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,23
East Hartford,0900322630,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,65.42
East Haven,0900922910,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,97
East Haven,0900922910,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,25.75
East Haven,0900922910,2011,0 to 9,Physical Neglect,Pending,Rate per 1000,Child Abuse and Neglect,8.46
East Haven,0900922910,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,81.09
East Haven,0900922910,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,37.28
East Haven,0900922910,2009,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,8.07
East Haven,0900922910,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,49
East Haven,0900922910,2013,9 to 17,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
East Haven,0900922910,2010,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,49
East Haven,0900922910,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,15
East Haven,0900922910,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2010,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,13
East Haven,0900922910,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,4
East Haven,0900922910,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,59.57
East Haven,0900922910,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,32
East Haven,0900922910,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,86.86
East Haven,0900922910,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,16
East Haven,0900922910,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,3
East Haven,0900922910,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,166
East Haven,0900922910,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,41.51
East Haven,0900922910,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,58.8
East Haven,0900922910,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,39
East Haven,0900922910,2011,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,3.84
East Haven,0900922910,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,28.44
East Haven,0900922910,2013,0 to 8,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2013,0 to 8,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
East Haven,0900922910,2010,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,14.99
East Haven,0900922910,2008,0 to 9,Sexual Abuse/Exploitation,Total reports,Rate per 1000,Child Abuse and Neglect,4.61
East Haven,0900922910,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,18.83
East Haven,0900922910,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,4
East Haven,0900922910,2013,9 to 17,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,2
East Haven,0900922910,2010,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,10.38
East Haven,0900922910,2008,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,16.91
East Haven,0900922910,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,74
East Haven,0900922910,2011,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,50
East Haven,0900922910,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,108
East Haven,0900922910,2009,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,18.45
East Haven,0900922910,2009,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,28.06
East Haven,0900922910,2013,9 to 17,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,73
East Haven,0900922910,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,21.14
East Haven,0900922910,2010,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,5
East Haven,0900922910,2011,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,42
East Haven,0900922910,2011,0 to 9,Emotional Neglect,Pending,Rate per 1000,Child Abuse and Neglect,3.84
East Haven,0900922910,2011,0 to 9,Emotional Neglect,Pending,Number,Child Abuse and Neglect,10
East Haven,0900922910,2010,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,21.14
East Haven,0900922910,2009,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,58
East Haven,0900922910,2008,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,16.14
East Haven,0900922910,2009,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,54
East Haven,0900922910,2011,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,16.14
East Haven,0900922910,2010,0 to 9,Emotional Abuse/Maltreatment,Total reports,Number,Child Abuse and Neglect,11
East Haven,0900922910,2010,0 to 9,Medical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,6.15
East Haven,0900922910,2010,0 to 9,Emotional Abuse/Maltreatment,Total reports,Rate per 1000,Child Abuse and Neglect,4.23
East Haven,0900922910,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,9
East Haven,0900922910,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,226
East Haven,0900922910,2009,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,73
East Haven,0900922910,2013,0 to 8,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
East Haven,0900922910,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,32
East Haven,0900922910,2011,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,55
East Haven,0900922910,2010,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,18.83
East Haven,0900922910,2011,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,28.82
East Haven,0900922910,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,91.85
East Haven,0900922910,2008,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,56
East Haven,0900922910,2011,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,59.19
East Haven,0900922910,2013,0 to 8,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
East Haven,0900922910,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,15.76
East Haven,0900922910,2008,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,10.38
East Haven,0900922910,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
East Haven,0900922910,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
East Haven,0900922910,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,35
